2021-11-27 01:08:56.184 +08:00 [INF] Starting default Dispatcher
2021-11-27 01:08:56.239 +08:00 [INF] Starting the processing server.
2021-11-27 01:08:56.240 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2021-11-27 01:08:56.241 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2021-11-27 01:08:56.242 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2021-11-27 01:08:56.253 +08:00 [INF] ### CAP started!
2021-11-27 01:08:56.260 +08:00 [INF] Loaded ABP modules:
2021-11-27 01:08:56.264 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2021-11-27 01:08:56.264 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2021-11-27 01:08:56.301 +08:00 [INF]                 - Volo.Abp.Timing.AbpTimingModule
2021-11-27 01:08:56.301 +08:00 [INF]               - Volo.Abp.Guids.AbpGuidsModule
2021-11-27 01:08:56.302 +08:00 [INF]               - Volo.Abp.BackgroundWorkers.AbpBackgroundWorkersModule
2021-11-27 01:08:56.303 +08:00 [INF]                 - Volo.Abp.Threading.AbpThreadingModule
2021-11-27 01:08:56.304 +08:00 [INF]               - Volo.Abp.DistributedLocking.AbpDistributedLockingAbstractionsModule
2021-11-27 01:08:56.304 +08:00 [INF]           - Volo.Abp.Authorization.AbpAuthorizationModule
2021-11-27 01:08:56.305 +08:00 [INF]           - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationContractsModule
2021-11-27 01:08:56.309 +08:00 [INF]             - Volo.Abp.Application.AbpDddApplicationContractsModule
2021-11-27 01:08:56.310 +08:00 [INF]               - Volo.Abp.Auditing.AbpAuditingContractsModule
2021-11-27 01:08:56.310 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationContractsModule
2021-11-27 01:08:56.311 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementApplicationContractsModule
2021-11-27 01:08:56.312 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementApplicationContractsModule
2021-11-27 01:08:56.312 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationContractsModule
2021-11-27 01:08:56.313 +08:00 [INF]         - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainSharedModule
2021-11-27 01:08:56.314 +08:00 [INF]     - Volo.Abp.Account.AbpAccountHttpApiModule
2021-11-27 01:08:56.314 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityHttpApiModule
2021-11-27 01:08:56.315 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcModule
2021-11-27 01:08:56.316 +08:00 [INF]           - Volo.Abp.AspNetCore.AbpAspNetCoreModule
2021-11-27 01:08:56.316 +08:00 [INF]             - Volo.Abp.Auditing.AbpAuditingModule
2021-11-27 01:08:56.317 +08:00 [INF]             - Volo.Abp.Http.AbpHttpModule
2021-11-27 01:08:56.318 +08:00 [INF]               - Volo.Abp.Http.AbpHttpAbstractionsModule
2021-11-27 01:08:56.319 +08:00 [INF]               - Volo.Abp.Minify.AbpMinifyModule
2021-11-27 01:08:56.319 +08:00 [INF]             - Volo.Abp.ExceptionHandling.AbpExceptionHandlingModule
2021-11-27 01:08:56.320 +08:00 [INF]           - Volo.Abp.ApiVersioning.AbpApiVersioningAbstractionsModule
2021-11-27 01:08:56.324 +08:00 [INF]           - Volo.Abp.AspNetCore.Mvc.AbpAspNetCoreMvcContractsModule
2021-11-27 01:08:56.325 +08:00 [INF]           - Volo.Abp.UI.Navigation.AbpUiNavigationModule
2021-11-27 01:08:56.327 +08:00 [INF]             - Volo.Abp.UI.AbpUiModule
2021-11-27 01:08:56.330 +08:00 [INF]           - Volo.Abp.GlobalFeatures.AbpGlobalFeaturesModule
2021-11-27 01:08:56.332 +08:00 [INF]           - Volo.Abp.Application.AbpDddApplicationModule
2021-11-27 01:08:56.333 +08:00 [INF]             - Volo.Abp.Domain.AbpDddDomainModule
2021-11-27 01:08:56.334 +08:00 [INF]               - Volo.Abp.ObjectMapping.AbpObjectMappingModule
2021-11-27 01:08:56.335 +08:00 [INF]               - Volo.Abp.Specifications.AbpSpecificationsModule
2021-11-27 01:08:56.338 +08:00 [INF]     - Volo.Abp.PermissionManagement.HttpApi.AbpPermissionManagementHttpApiModule
2021-11-27 01:08:56.340 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementHttpApiModule
2021-11-27 01:08:56.341 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementHttpApiModule
2021-11-27 01:08:56.342 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementHttpApiModule
2021-11-27 01:08:56.343 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementHttpApiModule
2021-11-27 01:08:56.344 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2021-11-27 01:08:56.344 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2021-11-27 01:08:56.346 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2021-11-27 01:08:56.347 +08:00 [INF]   - Volo.Abp.Autofac.AbpAutofacModule
2021-11-27 01:08:56.348 +08:00 [INF]     - Volo.Abp.Castle.AbpCastleCoreModule
2021-11-27 01:08:56.349 +08:00 [INF]   - Volo.Abp.Caching.StackExchangeRedis.AbpCachingStackExchangeRedisModule
2021-11-27 01:08:56.350 +08:00 [INF]     - Volo.Abp.Caching.AbpCachingModule
2021-11-27 01:08:56.351 +08:00 [INF]       - Volo.Abp.Serialization.AbpSerializationModule
2021-11-27 01:08:56.357 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2021-11-27 01:08:56.361 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2021-11-27 01:08:56.363 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2021-11-27 01:08:56.363 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2021-11-27 01:08:56.364 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2021-11-27 01:08:56.365 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
2021-11-27 01:08:56.366 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2021-11-27 01:08:56.368 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2021-11-27 01:08:56.373 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2021-11-27 01:08:56.375 +08:00 [INF]   - Lion.AbpPro.AbpProApplicationModule
2021-11-27 01:08:56.376 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2021-11-27 01:08:56.376 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2021-11-27 01:08:56.377 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2021-11-27 01:08:56.378 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2021-11-27 01:08:56.379 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2021-11-27 01:08:56.380 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2021-11-27 01:08:56.381 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2021-11-27 01:08:56.381 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2021-11-27 01:08:56.382 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2021-11-27 01:08:56.388 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
2021-11-27 01:08:56.390 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2021-11-27 01:08:56.391 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2021-11-27 01:08:56.392 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2021-11-27 01:08:56.394 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2021-11-27 01:08:56.394 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2021-11-27 01:08:56.395 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
2021-11-27 01:08:56.396 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2021-11-27 01:08:56.397 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2021-11-27 01:08:56.397 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2021-11-27 01:08:56.400 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2021-11-27 01:08:56.403 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
2021-11-27 01:08:56.404 +08:00 [INF]     - Volo.Abp.Account.AbpAccountApplicationModule
2021-11-27 01:08:56.405 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityApplicationModule
2021-11-27 01:08:56.407 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationModule
2021-11-27 01:08:56.408 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementApplicationModule
2021-11-27 01:08:56.409 +08:00 [INF]     - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationModule
2021-11-27 01:08:56.410 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementApplicationModule
2021-11-27 01:08:56.411 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationModule
2021-11-27 01:08:56.411 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationModule
2021-11-27 01:08:56.412 +08:00 [INF]       - Volo.Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule
2021-11-27 01:08:56.413 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2021-11-27 01:08:56.413 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2021-11-27 01:08:56.414 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2021-11-27 01:08:56.417 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2021-11-27 01:08:56.418 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2021-11-27 01:08:56.419 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.420 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.421 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2021-11-27 01:08:56.423 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2021-11-27 01:08:56.423 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2021-11-27 01:08:56.424 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.426 +08:00 [INF]     - Volo.Abp.FeatureManagement.EntityFrameworkCore.AbpFeatureManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.426 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.EntityFrameworkCore.DataDictionaryManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.427 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.EntityFrameworkCore.NotificationManagementEntityFrameworkCoreModule
2021-11-27 01:08:56.428 +08:00 [INF]   - Volo.Abp.AspNetCore.Serilog.AbpAspNetCoreSerilogModule
2021-11-27 01:08:56.429 +08:00 [INF]   - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2021-11-27 01:08:56.429 +08:00 [INF]   - Volo.Abp.Account.Web.AbpAccountWebModule
2021-11-27 01:08:56.430 +08:00 [INF]     - Volo.Abp.Identity.AspNetCore.AbpIdentityAspNetCoreModule
2021-11-27 01:08:56.432 +08:00 [INF]   - Volo.Abp.AspNetCore.Authentication.JwtBearer.AbpAspNetCoreAuthenticationJwtBearerModule
2021-11-27 01:08:56.434 +08:00 [INF]   - Volo.Abp.BackgroundJobs.Hangfire.AbpBackgroundJobsHangfireModule
2021-11-27 01:08:56.435 +08:00 [INF]     - Volo.Abp.Hangfire.AbpHangfireModule
2021-11-27 01:08:56.435 +08:00 [INF]   - Lion.AbpPro.CAP.AbpProAbpCapModule
2021-11-27 01:08:56.436 +08:00 [INF]   - Lion.AbpPro.SharedHostingMicroserviceModule
2021-11-27 01:08:56.438 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.Theme.Basic.AbpAspNetCoreMvcUiBasicThemeModule
2021-11-27 01:08:56.881 +08:00 [INF] Start installing Hangfire SQL objects...
2021-11-27 01:08:57.092 +08:00 [INF] Hangfire SQL objects installed.
2021-11-27 01:08:57.107 +08:00 [INF] Starting Hangfire Server using job storage: 'Server: localhost@LionAbpProDB'
2021-11-27 01:08:57.108 +08:00 [INF] Using the following options for SQL Server job storage:
2021-11-27 01:08:57.110 +08:00 [INF]     Queue poll interval: 00:00:15.
2021-11-27 01:08:57.112 +08:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2021-11-27 01:08:57.298 +08:00 [INF] Server szqh003802a:34020:bf90b178 successfully announced in 154.1179 ms
2021-11-27 01:08:57.303 +08:00 [INF] Server szqh003802a:34020:bf90b178 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2021-11-27 01:08:57.419 +08:00 [INF] Server szqh003802a:34020:bf90b178 all the dispatchers started
2021-11-27 01:08:57.696 +08:00 [INF] Connecting to Redis endpoints: localhost. Using Server Name: SZQH003802A_3b86435b92d342fba7f36b9792245326
2021-11-27 01:08:57.733 +08:00 [INF] Connected to Redis.
2021-11-27 01:08:57.738 +08:00 [INF] Initialized all ABP modules.
2021-11-27 01:08:57.810 +08:00 [INF] Now listening on: http://localhost:44315
2021-11-27 01:08:57.812 +08:00 [INF] Application started. Press Ctrl+C to shut down.
2021-11-27 01:08:57.813 +08:00 [INF] Hosting environment: Development
2021-11-27 01:08:57.815 +08:00 [INF] Content root path: D:\github\abp-vnext-pro\aspnet-core\services\host\Lion.AbpPro.HttpApi.Host
2021-11-27 01:08:58.638 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/ - -
2021-11-27 01:08:59.450 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2021-11-27 01:08:59.755 +08:00 [INF] Executed DbCommand (7ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2021-11-27 01:09:00.048 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2021-11-27 01:09:00.065 +08:00 [INF] Executed DbCommand (5ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2021-11-27 01:09:01.228 +08:00 [INF] Executing endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2021-11-27 01:09:01.259 +08:00 [INF] Route matched with {action = "Index", controller = "Home", area = "", page = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller Lion.AbpPro.Controllers.HomeController (Lion.AbpPro.HttpApi.Host).
2021-11-27 01:09:01.293 +08:00 [INF] Executing action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) - Validation state: "Valid"
2021-11-27 01:09:01.299 +08:00 [INF] Executed action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 0.4912ms.
2021-11-27 01:09:01.308 +08:00 [INF] Executing RedirectResult, redirecting to /Login.
2021-11-27 01:09:01.313 +08:00 [INF] Executed action Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) in 48.3975ms
2021-11-27 01:09:01.316 +08:00 [INF] Executed endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2021-11-27 01:09:01.322 +08:00 [INF] HTTP GET / responded 302 in 102.1250 ms
2021-11-27 01:09:01.339 +08:00 [INF] Request finished HTTP/1.1 GET http://localhost:44315/ - - - 302 0 - 2703.9554ms
2021-11-27 01:09:01.344 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/Login - -
2021-11-27 01:09:01.454 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/signalr/notification?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJDb21wYW55TmFtZVByb2plY3ROYW1lIiwiaXNzIjoiQ29tcGFueU5hbWVQcm9qZWN0TmFtZSIsInN1YiI6IjNhMDA2ZjBmLTcyZjYtNjFjMS00NDBmLWIzY2FmYmI5NGMyMiIsImdpdmVuX25hbWUiOiJhZG1pbiIsIm5hbWUiOiJhZG1pbiIsImVtYWlsIjoiYWRtaW5AYWJwLmlvIiwidGVuYW50aWQiOiIiLCJyb2xlIjoiYWRtaW4iLCJuYmYiOjE2Mzc5NDM5MzEsImV4cCI6MTYzODAzMDMzMSwiaWF0IjoxNjM3OTQzOTMxfQ.w0iGoIeyt6XtFL4FrMatZfainFojRho6hZBEM9JnDuo - -
2021-11-27 01:09:01.463 +08:00 [INF] CORS policy execution successful.
2021-11-27 01:09:01.528 +08:00 [INF] Failed to validate the token.
Microsoft.IdentityModel.Tokens.SecurityTokenInvalidAudienceException: IDX10214: Audience validation failed. Audiences: 'System.String'. Did not match: validationParameters.ValidAudience: 'System.String' or validationParameters.ValidAudiences: 'System.String'.
   at Microsoft.IdentityModel.Tokens.Validators.ValidateAudience(IEnumerable`1 audiences, SecurityToken securityToken, TokenValidationParameters validationParameters)
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateAudience(IEnumerable`1 audiences, JwtSecurityToken jwtToken, TokenValidationParameters validationParameters)
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateTokenPayload(JwtSecurityToken jwtToken, TokenValidationParameters validationParameters)
   at System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateToken(String token, TokenValidationParameters validationParameters, SecurityToken& validatedToken)
   at Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler.HandleAuthenticateAsync()
2021-11-27 01:09:01.609 +08:00 [INF] Bearer was not authenticated. Failure message: IDX10214: Audience validation failed. Audiences: 'System.String'. Did not match: validationParameters.ValidAudience: 'System.String' or validationParameters.ValidAudiences: 'System.String'.
2021-11-27 01:09:01.660 +08:00 [INF] Authorization failed. These requirements were not met:
DenyAnonymousAuthorizationRequirement: Requires an authenticated user.
2021-11-27 01:09:01.695 +08:00 [INF] AuthenticationScheme: Bearer was challenged.
2021-11-27 01:09:01.716 +08:00 [INF] Request finished HTTP/1.1 GET http://localhost:44315/signalr/notification?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJDb21wYW55TmFtZVByb2plY3ROYW1lIiwiaXNzIjoiQ29tcGFueU5hbWVQcm9qZWN0TmFtZSIsInN1YiI6IjNhMDA2ZjBmLTcyZjYtNjFjMS00NDBmLWIzY2FmYmI5NGMyMiIsImdpdmVuX25hbWUiOiJhZG1pbiIsIm5hbWUiOiJhZG1pbiIsImVtYWlsIjoiYWRtaW5AYWJwLmlvIiwidGVuYW50aWQiOiIiLCJyb2xlIjoiYWRtaW4iLCJuYmYiOjE2Mzc5NDM5MzEsImV4cCI6MTYzODAzMDMzMSwiaWF0IjoxNjM3OTQzOTMxfQ.w0iGoIeyt6XtFL4FrMatZfainFojRho6hZBEM9JnDuo - - - 401 0 - 261.4998ms
2021-11-27 01:09:01.888 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'BackgroundJobsDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2021-11-27 01:09:01.915 +08:00 [INF] Executed DbCommand (3ms) [Parameters=[@__now_0='?' (DbType = DateTime), @__p_1='?' (DbType = Int32)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`ConcurrencyStamp`, `a`.`CreationTime`, `a`.`ExtraProperties`, `a`.`IsAbandoned`, `a`.`JobArgs`, `a`.`JobName`, `a`.`LastTryTime`, `a`.`NextTryTime`, `a`.`Priority`, `a`.`TryCount`
FROM `AbpBackgroundJobs` AS `a`
WHERE NOT (`a`.`IsAbandoned`) AND (`a`.`NextTryTime` <= @__now_0)
ORDER BY `a`.`Priority` DESC, `a`.`TryCount`, `a`.`NextTryTime`
LIMIT @__p_1
2021-11-27 01:09:04.468 +08:00 [INF] Executing endpoint '/Login'
2021-11-27 01:09:04.478 +08:00 [INF] Route matched with {page = "/Login", action = "", controller = "", area = ""}. Executing page /Login
2021-11-27 01:09:04.479 +08:00 [INF] Skipping the execution of current filter as its not the most effective filter implementing the policy Microsoft.AspNetCore.Mvc.ViewFeatures.IAntiforgeryPolicy
